"text","text_hindi"
"cat","बिल्ली"
"cow","गाय"
"dog","कुत्ता"
"fish","मछली"
"horse","घोड़ा"
"monkey","बंदर"
"pig","सुअर"
"sheep","भेड़"
"art","कला"
"book","पुस्तक"
"dictionary","शब्दकोश"
"geography","भूगोल"
"history","इतिहास"
"math","गणित"
"music","संगीत"
"science","विज्ञान"
"tree","पेड़"
"food","भोजन"
"father","पिता"
"son","बेटा"
"teacher","शिक्षक"
"uncle","चाचा"
"wife","पत्नी"
"angry","गुस्सा"
"bad","बुरा"
"beautiful","सुंदर"
"cheap","सस्ता"
"clean","साफ़"
"cold","शीतल"
"different","अलग"
"early","जल्दी"
"easy","सरल"
"by bicycle","साइकिल से"
"by bus","बस से"
"by car","कार द्वारा"
"by train","ट्रेन द्वारा"
"black","काला"
"blue","नीला"
"brown","भूरा"
"gray","स्लेटी"
"green","हरा"
"orange","संतरी"
"purple","जामुनी"
"red","लाल"
"white","सफ़ेद"
"yellow","पीला"
"big","बड़ा"
"deep","गहरा"
"long","लंबा"
"narrow","पतला"
"small","छोटा"
"tall","लंबा"
"thick","मोटा"
"thin","पतला"
"round","गोल"
"straight","सीधा"
"square","समकोण"
"bitter","कड़वा"
"fresh","ताज़ा"
"salty","नमकीन"
"sour","खट्टा"
"spicy","मिर्च वाला"
"sweet","मीठा"
"bad","बुरा"
"clean","साफ़"
"dark","सांवला"
"difficult","मुश्किल"
"dirty","गंदा"
"dry","सूखा"
"easy","आसान"
"empty","खाली"
"expensive","महँगा"
"fast","तेज़"
"foreign","विदेशी"
"full","पूरा / सारा"
"good","अच्छा"
"hard (firm)","सख़्त"
"heavy","भारी"
"inexpensive","सस्ता"
"light (illumination)","लाइट"
"light (weight)","हलका"
"local","स्थानीय"
"new","नया"
"noisy","बहुत आवाज़"
"old (about people)","बूढ़े लोग"
"powerful","शक्तिशाली"
"quiet (person)","चुप"
"right / correct","सही / ठीक"
"slow","धीरे"
"soft","नरम"
"very","बहुत"
"weak","कमज़ोर"
"wet","गीला"
"young","जवान"
"whole","पूरा"